Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
504255697,"28 Feb 2016, 09:03:31",Kingston half ,Run,,5341,21.22,181,59,FALSE,,Adidas XCS,activities/556052792.fit.gz,68,,5341,5341,21222.5,8.1,,20.4,,6.4,17.9,7.9,0,,,98,91,181,136,,,1776,,,59,,,,,,,,,,,,,0,,,21261.2,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508624332,"2 Mar 2016, 06:52:05",Morning Run,Run,,2016,5.87,162,35,FALSE,,Adidas XCS,activities/560462505.fit.gz,68,,2016,2007,5875,5.5,,54.5,,38.9,62.7,12,-0.2,,,90,84,162,143,,,,,,35,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514719356,"12 Mar 2016, 09:03:27",Morning Run,Run,,1292,4.87,,,FALSE,,Adidas XCS,activities/566871208.fit.gz,68,,1292,1283,4878.4,4.5,,0,,58.2,66.6,4.1,0,,,95,90,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525306859,"16 Mar 2016, 06:56:42",Morning Run,Run,,1836,5.35,,,FALSE,,Adidas XCS,activities/577862158.fit.gz,68,,1836,1833,5353.9,3.8,,20.9,,39.1,62.1,8.3,0,,,90,84,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525306885,"23 Mar 2016, 06:52:31",Morning Run,Run,,3075,6.95,,,FALSE,,Adidas XCS,activities/577862208.fit.gz,68,,3075,2393,6955.1,4.1,,37,,39.1,62.6,8.5,0.2,,,91,83,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525622962,"24 Mar 2016, 14:54:47",Afternoon Run,Run,,3141,7.93,,,FALSE,,Adidas XCS,activities/578181831.fit.gz,68,,3141,2697,7934,4.5,,29.3,,28.6,61.7,33.3,-0.2,,,94,83,,,,,661,,,,,,,,,,,,,,,,0,,,7916.3,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526020579,"25 Mar 2016, 05:47:59",Morning Run,Run,,2440,7.87,181,36,FALSE,,Adidas XCS,activities/578587992.fit.gz,68,,2440,2399,7873,9.4,,28.7,,28.3,61.9,11.7,-0.2,,,121,86,181,126,,,,,,36,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527287496,"26 Mar 2016, 09:05:00",Morning Run,Run,,1231,4.86,177,24,FALSE,,Adidas XCS,activities/579888943.fit.gz,68,,1231,1224,4859.8,6,,44,,39,62.8,8.5,0,,,116,90,177,143,,,,,,24,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533306325,"2 Apr 2016, 08:06:03",Morning Run,Run,,1208,4.85,176,13,FALSE,,Adidas XCS,activities/586055041.fit.gz,68,,1208,1205,4855.1,7,,39.2,,39,61.2,8.4,0,,,97,92,176,140,,,,,,13,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547090513,"16 Apr 2016, 08:06:25",Parkrun 203,Run,,1236,4.83,151,4,FALSE,,Adidas XCS,activities/600177614.fit.gz,68,,1236,1231,4833.5,5.5,,42.6,,39.1,63.2,8.3,0,,,96,89,151,111,,,,,,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550999189,"20 Apr 2016, 05:51:45",Morning Run,Run,,2056,6.08,192,63,FALSE,,Adidas XCS,activities/604254657.fit.gz,68,,2056,2051,6083.8,4.4,,44.2,,39.2,63.1,8.3,-0.3,,,90,85,192,155,,,,,,63,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554302835,"23 Apr 2016, 08:09:57",Parkrun 204,Run,,1214,4.84,161,20,FALSE,,Adidas XCS,activities/607770609.fit.gz,68,,1214,1207,4847.1,5.4,,42.5,,39,62.1,8.4,0,,,100,90,161,140,,,,,,20,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554303090,"23 Apr 2016, 09:29:35",Morning Run,Run,,2806,5.44,184,46,FALSE,,Adidas XCS,activities/607770868.fit.gz,68,,2806,2154,5439.3,4.1,,42.5,,33,55.8,5.9,-0.2,,,122,82,184,132,,,,,,46,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554303435,"23 Apr 2016, 10:49:20",Lunch Run,Run,,4082,7.93,192,133,FALSE,,Adidas XCS,activities/607771218.fit.gz,68,,4082,3438,7937.9,4.9,,48.7,,31.7,68.9,47.8,0,,,106,77,192,154,,,,,,133,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558447526,"27 Apr 2016, 05:52:42",Morning Run,Run,,1994,5.91,164,33,FALSE,,Adidas XCS,activities/612047671.fit.gz,68,,1994,1993,5909.8,13.3,,21.2,,39.1,62.6,8.3,0,,,90,85,164,133,,,,,,33,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572314176,"11 May 2016, 05:52:46",Morning Run,Run,,2019,5.7,181,56,FALSE,,Adidas XCS,activities/626322164.fit.gz,68,,2019,2017,5707,5.2,,37.3,,39.1,62,15.2,0,,,90,84,181,145,,,,,,56,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575532177,"14 May 2016, 08:10:33",Morning Run,Run,,1209,4.79,149,4,FALSE,,Adidas XCS,activities/629630103.fit.gz,68,,1209,1204,4792.1,6.3,,41.9,,39.1,62,8.1,0,,,100,89,149,109,,,,,,13,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576842219,"15 May 2016, 10:05:20",Run Wembley ,Run,,2385,10.05,163,38,FALSE,,Adidas XCS,activities/630996187.fit.gz,68,,2385,2378,10058.7,5.7,,34.4,,43.1,61,3.5,0,,,97,89,163,137,,,842,,,38,,,,,,,,,,,,,0,,,10080.3,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582913038,"21 May 2016, 08:10:31",Morning Run,Run,,1195,4.8,185,20,FALSE,,Adidas XCS,activities/637255392.fit.gz,68,,1195,1189,4801.3,5.7,,41.9,,39,62,8.2,0,,,100,90,185,138,,,,,,20,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584079553,"22 May 2016, 09:10:38",SRC Sunday run,Run,,4449,11.34,197,138,FALSE,,Adidas XCS,activities/638466315.fit.gz,68,,4449,4065,11340.8,3.9,,21.5,,28.3,64,5.4,-0.1,,,89,83,197,160,,,,,,138,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590511148,"28 May 2016, 08:13:34",Morning Run,Run,,1184,4.73,215,36,FALSE,,Adidas XCS,activities/645086688.fit.gz,68,,1184,1177,4738.1,5.2,,42.5,,39,62.2,8.8,0,,,97,89,215,149,,,,,,36,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596344580,"2 Jun 2016, 05:22:14",Morning Run,Run,,3023,7.09,186,68,FALSE,,Adidas XCS,activities/651104925.fit.gz,68,,3023,2386,7090.1,4.7,,36.5,,39,62.4,8.3,0.2,,,92,83,186,150,,,,,,68,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597825511,"4 Jun 2016, 08:19:01",Morning Run,Run,,1157,4.82,183,29,FALSE,,Adidas XCS,activities/652620492.fit.gz,68,,1157,1157,4825.8,5.5,,42.6,,39.1,62.5,8.3,0,,,104,89,183,138,,,,,,29,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599584698,"5 Jun 2016, 08:32:41","Started 10k, then got lost and quit. Doh ",Run,,1472,6.09,207,27,FALSE,,Adidas XCS,activities/654451561.fit.gz,68,,1472,1464,6090.8,5.5,,26.1,,29.7,44.1,6.6,-0.1,,,99,90,207,150,,,,,,27,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606786133,"12 Jun 2016, 08:32:24",Morning Run,Run,,2364,9.78,194,45,FALSE,,Adidas XCS,activities/661956222.fit.gz,68,,2364,2364,9787.2,5.4,,10.2,,51,61.6,4.4,0,,,96,89,194,144,,,,,,45,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612715357,"18 Jun 2016, 08:09:26",Morning Run,Run,,1154,4.84,203,33,FALSE,,Adidas XCS,activities/668119613.fit.gz,68,,1154,1154,4845.5,5.6,,41.1,,39.2,61.3,8,0,,,100,89,203,159,,,,,,33,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614236191,"19 Jun 2016, 09:20:04",Morning Run,Run,,331,1.58,191,13,FALSE,,Adidas XCS,activities/669708058.fit.gz,68,,331,331,1587.3,6.5,,11.3,,21,33,3.7,0.4,,,103,95,191,158,,,,,,13,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614237074,"19 Jun 2016, 10:41:02",Lunch Run,Run,,6850,17.84,196,165,FALSE,,Adidas XCS,activities/669708881.fit.gz,68,,6850,6168,17848.7,8,,65,,4.6,45,9.4,0.2,,,91,85,196,155,,,1512,,,165,,,,,,,,,,,,,0,,,18096.6,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620115504,"25 Jun 2016, 08:32:51",Morning Run,Run,,1141,4.83,173,17,FALSE,,Adidas XCS,activities/675882046.fit.gz,68,,1141,1141,4829.1,6.5,,40.8,,39,61.7,8.2,0,,,103,90,173,144,,,,,,17,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621974591,"26 Jun 2016, 17:41:23",Treadmill run... Watch works somehow ,Run,,1901,2.55,180,12,FALSE,,New Balance m880 v5,activities/677849133.fit.gz,68,,1901,1901,2551.6,4.4,,0,,,,0,0,,,98,83,180,120,,,,,,12,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641106747,"14 Jul 2016, 18:15:04",City Race 2016,Run,,1112,5.18,141,11,FALSE,,New Balance m880 v5,activities/707248808.fit.gz,68,,1112,1112,5185.3,15.2,,22.2,,27.3,41.2,8.8,0,,,100,91,141,104,,,437,,,11,,,,,,,,,,,,,0,,,5227.4,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642547756,"16 Jul 2016, 08:10:35",Morning Run,Run,,1274,4.82,208,42,FALSE,,New Balance m880 v5,activities/708789630.fit.gz,68,,1274,1274,4821.2,5.7,,51.6,,39.1,62,8.3,0.1,,,95,88,208,157,,,,,,42,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650383943,"23 Jul 2016, 08:13:14",Morning Run,Run,,1428,4.97,181,29,FALSE,,New Balance m880 v5,activities/717166947.fit.gz,68,,1428,1428,4975.2,4.5,,21.5,,39.6,62.1,8.2,0.1,,,91,85,181,147,,,,,,40,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658268002,"30 Jul 2016, 08:08:06",Morning Run,Run,,1158,4.83,190,32,FALSE,,New Balance m880 v5,activities/725619423.fit.gz,68,,1158,1158,4834.6,5.5,,42.2,,39.1,62.7,8.3,0,,,97,88,190,156,,,,,,32,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667441615,"7 Aug 2016, 08:32:12",Regent's Park 10k,Run,,2410,9.91,181,42,FALSE,,New Balance m880 v5,activities/736000146.fit.gz,68,,2410,2410,9918,6,,39.4,,30.3,44,7.1,0,,,95,88,181,143,,,834,,,42,,,,,,,,,,,,,0,,,9980.3,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/E8B11AC3-7E2D-4BB6-841C-AD2C479A4DDE.jpg
680590796,"18 Aug 2016, 12:32:00",Biking to Liverpool st ,Ride,,4057,14.94,139,13,TRUE,,,activities/750266999.fit.gz,69.9,,4057,3052,14940.2,12.7,,43.6,,19.1,61.9,7.4,-0.2,,,66,60,139,102,,71,,,,13,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680590961,"18 Aug 2016, 14:56:35",Bike trip home,Ride,,3226,7.15,137,8,FALSE,,,activities/750267203.fit.gz,69.9,,3226,1772,7150,10.4,,31,,30.5,62,15.3,0.3,,,72,59,137,97,,65,,,,8,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680965463,"18 Aug 2016, 18:04:58",SCR interval training ,Run,,2356,3.6,210,49,FALSE,,New Balance m880 v5,activities/750665761.fit.gz,69.9,,2356,1543,3602.8,5.8,,89.5,,20.5,42,13,0.1,,,124,72,210,161,,,,,,49,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682319154,"20 Aug 2016, 08:10:25",Morning Run,Run,,1272,4.89,185,38,FALSE,,New Balance m880 v5,activities/752143745.fit.gz,69.9,,1272,1272,4889.9,6.5,,40.9,,39.9,62.6,8.5,0,,,103,88,185,156,,,,,,38,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685361453,"22 Aug 2016, 17:35:05",Evening Run,Run,,1819,5.54,212,100,FALSE,,New Balance m880 v5,activities/755418938.fit.gz,69.9,,1819,1784,5542.3,5.7,,15.5,,19.6,36,7.2,0,,,93,83,212,177,,,,,,100,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690475674,"27 Aug 2016, 08:10:20",Morning Run,Run,,1196,4.78,164,20,FALSE,,New Balance m880 v5,activities/760896271.fit.gz,69.9,,1196,1196,4781.5,5.8,,21,,39.9,62.1,8.3,0,,,95,88,164,137,,,,,,20,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690614363,"27 Aug 2016, 11:09:34",Bike to watch game in dalston,Ride,,2443,12.44,153,12,FALSE,,Black Beauty,activities/761044365.fit.gz,69.9,8.6,2443,2326,12439,9.6,,44.6,,25,65,8.3,-0.2,,,79,58,153,117,,67,,,,12,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3276569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695222346,"27 Aug 2016, 20:16:51",Night Run,Ride,,1982,9.27,128,7,FALSE,,Black Beauty,activities/766046682.fit.gz,69.9,8.6,1982,1897,9277.4,10,,61.5,,28.4,65,10.5,0.2,,,74,58,128,92,,74,,,,7,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3276569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695222646,"31 Aug 2016, 05:48:13",First commute to work ,Ride,,2863,15.14,156,12,TRUE,,Black Beauty,activities/766047006.fit.gz,69.9,8.6,2863,2535,15142.3,11.6,,61.2,,17.5,65,8.9,-0.1,,,81,59,156,114,,92,,,,12,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3276569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696050687,"31 Aug 2016, 19:08:58",NRC track session ,Run,,2012,4.29,187,29,FALSE,,New Balance m880 v5,activities/766989694.fit.gz,69.9,,2012,903,4294.1,6.4,,0,,3.4,6.5,8.2,0,,,104,92,187,147,,,,,,29,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697223097,"1 Sept 2016, 19:40:00",NRC 10k,Run,,2640,10,,,FALSE,,New Balance m880 v5,,69.9,,2640,2640,10000,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1514133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697986356,"2 Sept 2016, 15:28:53",Friday bike commute ,Ride,,3233,15.26,143,9,TRUE,,Black Beauty,activities/769080934.fit.gz,69.9,8.6,3233,3057,15261.2,10,,94,,17,65,11.6,0.2,,,85,59,143,102,,76,,,,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3276569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700417474,"4 Sept 2016, 09:43:05",Group cycling training ,Ride,,6625,22.44,199,27,FALSE,,Black Beauty,activities/771675946.fit.gz,69.9,8.6,6625,4364,22440.5,11.7,,67.4,,29,65.8,9.6,0,,,91,60,199,110,,79,,,,27,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3276569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705280088,"8 Sept 2016, 17:54:15",NRC #2 Mo run,Run,,5067,11.93,194,113,FALSE,,Adidas Sequence Boost 8,activities/776902279.fit.gz,69.9,,5067,3886,11932.2,6.3,,39.8,,32,60.9,8.8,0,,,109,85,194,148,,,,,,113,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1642573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/743EE4B3-F3E6-4C34-A3AA-A55F6FE8F9CC.jpg
